source,source_label,relation_code,relation_type,relation_label_cn,target,target_label,relation_group,direction,research_tier
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C62273,Mixed Neoplastic Glandular and Squamous Cell Population,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C155861,Well Differentiated Neuroendocrine Lesion,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36773,Adenocarcinoma Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C12917,Malignant Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36779,Malignant Epithelial Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C12922,Neoplastic Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36753,Neoplastic Epithelial Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36763,Neoplastic Glandular Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12382,Colon,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C54189,Colorectal Region,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12378,Digestive System,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12736,Intestine,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12379,Large Intestine,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R126,Disease_Has_Associated_Disease,相关疾病,C3864,Colon Adenoma,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,伴随 finding,C54172,Carcinomatous Component Present,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,伴随 finding,C53596,Epithelial Component Present,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,伴随 finding,C60663,Intramucosal Lesion,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,伴随 finding,C36115,Malignant Cellular Infiltrate,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R104,Disease_Has_Normal_Cell_Origin,正常细胞来源,C12578,Epithelial Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R104,Disease_Has_Normal_Cell_Origin,正常细胞来源,C33923,Glandular Cell,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,正常组织来源,C45714,Epithelial Tissue,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,正常组织来源,C43370,Glandular Epithelium,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,正常组织来源,C32926,Large Intestinal Mucosa,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,原发解剖部位,C12382,Colon,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,原发解剖部位,C54189,Colorectal Region,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,原发解剖部位,C12378,Digestive System,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,疾病-基因映射,C17567,APC Gene,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,疾病-基因映射,C18363,BRAF Gene,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,疾病-基因映射,C25785,KRAS Gene,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,疾病-基因映射,C17359,TP53 Gene,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R115,Disease_May_Have_Finding,可伴随 finding,C36156,Favorable Clinical Outcome,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R115,Disease_May_Have_Finding,可伴随 finding,C78438,Lower Gastrointestinal Hemorrhage,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C40430,BRAF Gene Mutation,role,out,biomedical
